Title.1,Artist(s).1,URL.1
One Kiss,Calvin Harris Dua Lipa,https://www.youtube.com/watch?v=DkeiKbqa02g
New Genesis,Ado,https://www.youtube.com/watch?v=6lnnPnr_0SU
There'S Nothing Holdin' Me Back,Shawn Mendes,https://www.youtube.com/watch?v=dT2owtxkU8k
I Like You (A Happier Song),Post Malone Featuring Doja Cat,https://www.youtube.com/watch?v=7aekxC_monc
Break My Soul,Beyoncé,https://www.youtube.com/watch?v=yjki-9Pthh0
Sunroof,Nicky Youre And Dazy,https://www.youtube.com/watch?v=G5xSLbYMr-I
La Corriente,Bad Bunny And Tony Dize,https://www.youtube.com/watch?v=A95yW-LVnbY
2Step,Ed Sheeran Featuring Lil Baby,https://www.youtube.com/watch?v=Z_MvkyuOJgk
Cheap Thrills,Sia Featuring Sean Paul,https://www.youtube.com/watch?v=nYh-n7EOtMA
We Don'T Talk About Bruno,"Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz And The Encanto Cast",https://www.youtube.com/watch?v=bvWRMAU6V-c
W / X / Y,Tani Yuuki,https://www.youtube.com/watch?v=mp2-w15SXms
The Feels,Twice,https://www.youtube.com/watch?v=f5_wn8mexmM
Señorita,Shawn Mendes And Camila Cabello,https://www.youtube.com/watch?v=Pkh8UtuejGw
Only Love Can Hurt Like This,Paloma Faith,https://www.youtube.com/watch?v=PaKr9gWqwl4
Shut Down,Blackpink,https://www.youtube.com/watch?v=POe9SOEKotk
Doja,Central Cee,https://www.youtube.com/watch?v=_VuJA-VQRcY
Toxic,Boywithuke,https://www.youtube.com/watch?v=Mvaosumc4hU
Medallo,"Blessd, Justin Quiles And Lenny Tavárez",https://www.youtube.com/watch?v=hMhR6T7EEfQ
In Da Club,50 Cent,https://www.youtube.com/watch?v=5qm8PH4xAss
Starboy,The Weeknd Featuring Daft Punk,https://www.youtube.com/watch?v=34Na4j8AVgA
Last Christmas,Wham!,https://www.youtube.com/watch?v=E8gmARGvPlI
Crazy What Love Can Do,"David Guetta,",https://www.youtube.com/watch?v=8bzesUu_a4I
Overpass Graffiti,Ed Sheeran,https://www.youtube.com/watch?v=k6ZoE4RrcDs
One Right Now,Post Malone And The Weeknd,https://www.youtube.com/watch?v=Tc0tLGWIqxA
