Title,Artist,URL
Después De La Playa,Bad Bunny,https://www.youtube.com/watch?v=a5rlgE6dcBY
Sunroof,Nicky Youre And Dazy,https://www.youtube.com/watch?v=G5xSLbYMr-I
Leave The Door Open,Silk Sonic (Bruno Mars And Anderson .Paak),https://www.youtube.com/watch?v=adLGHcj_fmA
Oh My God,Adele,https://www.youtube.com/watch?v=niG3YMU6jFk
Light Switch,Charlie Puth,https://www.youtube.com/watch?v=WFsAon_TWPQ
Deja Vu,Olivia Rodrigo,https://www.youtube.com/watch?v=cii6ruuycQA
Take Me To Church,Hozier,https://www.youtube.com/watch?v=PVjiKRfKpPI
Sweet Child O' Mine,Guns N' Roses,https://www.youtube.com/watch?v=HlEuo9aR7Qo
Unstoppable,Sia,https://www.youtube.com/watch?v=YaEG2aWJnZ8
Riptide,Vance Joy,https://www.youtube.com/watch?v=uJ_1HMAGb4k
The Real Slim Shady,Eminem,https://www.youtube.com/watch?v=eJO5HU_7_1w
Mr. Brightside,The Killers,https://www.youtube.com/watch?v=gGdGFtwCNBE
Big Energy,Latto,https://www.youtube.com/watch?v=T8GpG8C0YzA
Lose Yourself,Eminem,https://www.youtube.com/watch?v=_Yhyp-_hX2s
La Corriente,Bad Bunny And Tony Dize,https://www.youtube.com/watch?v=A95yW-LVnbY
Until I Found You,Stephen Sanchez,https://www.youtube.com/watch?v=GxldQ9eX2wo
Una Noche En Medellin,Cris Mj,https://www.youtube.com/watch?v=EaIh7tRqdqM
Calm Down,Rema And Selena Gomez,https://www.youtube.com/watch?v=WcIcVapfqXw
Surface Pressure,Jessica Darrow,https://www.youtube.com/watch?v=tQwVKr8rCYw
Super Freaky Girl,Nicki Minaj,https://www.youtube.com/watch?v=j5uAR9w7LBg
Astronaut In The Ocean,Masked Wolf,https://www.youtube.com/watch?v=MEg-oqI9qmw
Vegas,Doja Cat,https://www.youtube.com/watch?v=QZp2biJul1c
Ultra Solo,Polimá Westcoast Featuring Pailita,https://www.youtube.com/watch?v=Mub403hj9nE
Something In The Orange,Zach Bryan,https://www.youtube.com/watch?v=lA8F9sIhGdg
In Da Club,50 Cent,https://www.youtube.com/watch?v=5qm8PH4xAss
Hotel California,Eagles,https://www.youtube.com/watch?v=09839DpTctU
Snap,Rosa Linn,https://www.youtube.com/watch?v=DIKIgjLGf98
505,Arctic Monkeys,https://www.youtube.com/watch?v=iIfl5k2nQBQ
You Proof,Morgan Wallen,https://www.youtube.com/watch?v=3CkLMG5NwUg
Knife Talk,Drake Featuring 21 Savage And Project Pat,https://www.youtube.com/watch?v=XqpQpt_cmhE
Un Ratito,Bad Bunny,https://www.youtube.com/watch?v=tGhyQ7KanMU
Last Christmas,Wham!,https://www.youtube.com/watch?v=E8gmARGvPlI
Take On Me,A-Ha,https://www.youtube.com/watch?v=djV11Xbc914
You Right,Doja Cat And The Weeknd,https://www.youtube.com/watch?v=JXgV1rXUoME
Meet Me At Our Spot,The Anxiety: Willow And Tyler Cole,https://www.youtube.com/watch?v=RyJ5GbzEZC0
Moth To A Flame,Swedish House Mafia And The Weeknd,https://www.youtube.com/watch?v=u9n7Cw-4_HQ
Don'T Stop Believin',Journey,https://www.youtube.com/watch?v=7gupK06T68k
She'S All I Wanna Be,Tate Mcrae,https://www.youtube.com/watch?v=uS_y_65CcpA
Boyfriend,Dove Cameron,https://www.youtube.com/watch?v=SOn3_0Oav0k
Pushin P,Gunna And Future Featuring Young Thug,https://www.youtube.com/watch?v=-705T4FioZE
I Love You So,The Walters,https://www.youtube.com/watch?v=HZX7MB_m13M
Thunderstruck,Ac/Dc,https://www.youtube.com/watch?v=v2AC41dglnM
Mood,24Kgoldn Featuring Iann Dior,https://www.youtube.com/watch?v=GrAchTdepsU
Smokin Out The Window,Silk Sonic (Bruno Mars And Anderson .Paak),https://www.youtube.com/watch?v=GG7fLOmlhYg
2Step,Ed Sheeran Featuring Lil Baby,https://www.youtube.com/watch?v=Z_MvkyuOJgk
One Kiss,Calvin Harris Dua Lipa,https://www.youtube.com/watch?v=DkeiKbqa02g
Despacito,Luis Fonsi And Daddy Yankee Featuring Justin Bieber,https://www.youtube.com/watch?v=dr_GAJZviR0
